Scheme Code;NAV Name;Plan;Option;ISIN Div Payout/ISIN Growth;ISIN Div Reinvestment;Net Asset Value;Date

Open Ended Schemes ( Equity Oriented Investment Strategies - Equity Long-Short Fund )
SIF-152;Summit Equity Long-Short Fund - Regular Plan - IDCW (Payout / Reinvestment);Regular Plan;IDCW;INF205K30022;INF205K30030;10.63;28-Aug-2026
SIF-152;Summit Equity Long-Short Fund - Regular Plan - IDCW (Payout / Reinvestment);Regular Plan;IDCW;INF205K30022;INF205K30030;10.58;31-Aug-2026
SIF-152;Summit Equity Long-Short Fund - Regular Plan - IDCW (Payout / Reinvestment);Regular Plan;IDCW;INF205K30022;INF205K30030;10.52;01-Sep-2026
SIF-152;Summit Equity Long-Short Fund - Regular Plan - IDCW (Payout / Reinvestment);Regular Plan;IDCW;INF205K30022;INF205K30030;10.49;02-Sep-2026
SIF-152;Summit Equity Long-Short Fund - Regular Plan - IDCW (Payout / Reinvestment);Regular Plan;IDCW;INF205K30022;INF205K30030;10.56;03-Sep-2026
SIF-152;Summit Equity Long-Short Fund - Regular Plan - IDCW (Payout / Reinvestment);Regular Plan;IDCW;INF205K30022;INF205K30030;10.57;04-Sep-2026
SIF-152;Summit Equity Long-Short Fund - Regular Plan - IDCW (Payout / Reinvestment);Regular Plan;IDCW;INF205K30022;INF205K30030;10.51;07-Sep-2026
SIF-152;Summit Equity Long-Short Fund - Regular Plan - IDCW (Payout / Reinvestment);Regular Plan;IDCW;INF205K30022;INF205K30030;10.49;08-Sep-2026
SIF-152;Summit Equity Long-Short Fund - Regular Plan - IDCW (Payout / Reinvestment);Regular Plan;IDCW;INF205K30022;INF205K30030;10.42;09-Sep-2026
</content>
